1973,Physics,Ivar Giaever,4/5/1929,Bergen
1961,Literature,Ivo Andric,1892-10-10,Dolac
1987,Physics,J. Georg Bednorz,5/16/1950,Neuenkirchen
1963,Physics,J. Hans D. Jensen,6/25/1907,Hamburg
2003,Literature,J. M. Coetzee,2/9/1940,Cape Town
1989,Physiology or Medicine,J. Michael Bishop,2/22/1936,"York, PA"
2016,Physics,J. Michael Kosterlitz,6/22/1943,Aberdeen
2005,Physiology or Medicine,J. Robin Warren,6/11/1937,Adelaide
1906,Physics,J.J. Thomson,1856-12-18,Cheetham Hill
1922,Literature,Jacinto Benavente,1866-08-12,Madrid
2000,Physics,Jack Kilby,11/8/1923,"Jefferson City, MO"
1988,Physics,Jack Steinberger,5/25/1921,Bad Kissingen
2009,Physiology or Medicine,Jack W. Szostak,11/9/1952,London
1901,Chemistry,Jacobus H. van 't Hoff,1852-08-30,Rotterdam
2017,Chemistry,Jacques Dubochet,6/8/1942,Aigle
1965,Physiology or Medicine,Jacques Monod,2/9/1910,Paris
1996,Economic Sciences,James A. Mirrlees,7/5/1936,Minnigaff
1946,Chemistry,James B. Sumner,1887-11-19,"Canton, MA"
1935,Physics,James Chadwick,1891-10-20,Manchester
1980,Physics,James Cronin,9/29/1931,"Chicago, IL"
1977,Economic Sciences,James E. Meade,6/23/1907,Swanage
2013,Physiology or Medicine,James E. Rothman,11/3/1950,"Haverhill, MA"
1925,Physics,James Franck,1882-08-26,Hamburg
2000,Economic Sciences,James J. Heckman,4/19/1944,"Chicago, IL"
